Nama,No telepon 
Wijaya Bengkel,0341-478559 (+62-0341-478559)
Australindo Pan Services,031-5311788 (+62-031-5311788)
Dewata Tehnik,031-7882095 (+62-031-7882095)
Tri Tunggal Abadi CV,031-5684733 (+62-031-5684733)
Nasional UD,0331-486308 (+62-0331-486308)
Lie Fung Perus,031-8672953 (+62-031-8672953)
Panca Logam UD,031-3983028 (+62-031-3983028)
Alim Group,031-8531784 (+62-031-8531784)
Wirajayadi Bahari PT,031-3282754 (+62-031-3282754)
Anugerah Abadi Permai PT,031-3526839 (+62-031-3526839)
ASDP PT Persero,"0333-424308, 0333-413730, 0333-413731, 0333-415345, 0333-421711, 0333-423365 (+62-0333-424308, 0333-413730, 0333-413731, 0333-415345, 0333-421711, 0333-423365)"
ASDP PT Persero,0333-424018 (+62-0333-424018)
Atmawijaya PT,031-3982187 (+62-031-3982187)
Atmawijaya PT,"031-3986014, 031-3986015 (+62-031-3986014, 031-3986015)"
Atmawijaya PT,031-3976065 (+62-031-3976065)
Bahtera Adhiguna PT Pelayaran,0332-891381 (+62-0332-891381)
Bahtera Adhiguna PT Pelayaran,0332-892113 (+62-0332-892113)
Bahtera Adhiguna PT Pelayaran,031-3981639 (+62-031-3981639)
Bahtera Adhiguna PT Pelayaran,0356-411415 (+62-0356-411415)
Bahtera Adhiguna PT Pelayaran,031-3981361 (+62-031-3981361)
Bahtera Adhiguna PT,"0333-510675, 0333-510574 (+62-0333-510675, 0333-510574)"
Basuma PT,031-3552960 (+62-031-3552960)
Bumi Daerah Express PT,"031-3293655, 031-3294011 (+62-031-3293655, 031-3294011)"
Bunga Taruna CV,031-8421531 (+62-031-8421531)
CMA-CGM PT,"031-3540085, 031-3555124 (+62-031-3540085, 031-3555124)"
Dharma Lautan Nusantara PT,0328-663054 (+62-0328-663054)
Dharma Lautan Nusantara PT,031-3013946 (+62-031-3013946)
Djakarta Lloyd PT Persero,0331-711434 (+62-0331-711434)
Djakarta Lloyd PT Persero,0333-421790 (+62-0333-421790)
Djakarta Lloyd PT,0338-672404 (+62-0338-672404)
Djakarta Lloyd PT,"0338-671181, 0338-671169 (+62-0338-671181, 0338-671169)"
Dunia Baru PT,031-3282761 (+62-031-3282761)
Gabsu PT Pelayaran Nusantara,031-3291886 (+62-031-3291886)
Green Pacific Line PT,"031-3281149, 031-3281148 (+62-031-3281149, 031-3281148)"
Halifah Indah PT,031-3281022 (+62-031-3281022)
Indomarine Corp Ltd PT,0341-361953 (+62-0341-361953)
Jardine Tama Transport Services PT,031-3534500 (+62-031-3534500)
Jaya Mulia PT,031-3985929 (+62-031-3985929)
Undefined,031-3985929 (+62-031-3985929)
Kopal Samudera Lines PT,031-5618100 (+62-031-5618100)
Mandalika PT Pelayaran Rakyat,031-3985029 (+62-031-3985029)
Mandalika PT,031-3297625 (+62-031-3297625)
Mandalika PT,"031-3292269, 031-3297142 (+62-031-3292269, 031-3297142)"
Mitra Pacific PT,031-3533989 (+62-031-3533989)
NYK Line Indonesia PT,"031-5481616, 031-5481619 (+62-031-5481616, 031-5481619)"
Orient Overseas Container Lines,031-5325448 (+62-031-5325448)
Oriental Samodra Raya PT,"031-8963432, 031-8963433, 031-8963733 (+62-031-8963432, 031-8963433, 031-8963733)"
Pejaka PT,"031-3291151, 031-3291539, 031-3295159 (+62-031-3291151, 031-3291539, 031-3295159)"
Pelayaran Nasional Indonesia PT Persero,0343-881240 (+62-0343-881240)
Pelayaran Penyebrangan PT,0333-424696 (+62-0333-424696)
Pelayaran Penyebrangan PT,0333-421239 (+62-0333-421239)
Persatuan Nasional PT Pelayaran,031-3282977 (+62-031-3282977)
Putra Paldimang PT Pelayaran Rakyat,031-3978554 (+62-031-3978554)
Putra Pratama Mandiri PT,"031-7329265, 031-7310536 (+62-031-7329265, 031-7310536)"
Segara Tanjung Wangi PT,"0333-510004, 0333-510005, 0333-510320 (+62-0333-510004, 0333-510005, 0333-510320)"
Segara Tanjung Wangi PT,0333-510242 (+62-0333-510242)
Sepakat PT,031-8432753 (+62-031-8432753)
Shipco Transport PT,"031-3291395, 031-3297932 (+62-031-3291395, 031-3297932)"
Sucofindo PT Persero,0332-892003 (+62-0332-892003)
Sutra Lestari Line PT,031-3293335 (+62-031-3293335)
Taruna Kusan PT Pelayaran,"031-3294205, 031-3294206, 031-3298683, 031-3298684 (+62-031-3294205, 031-3294206, 031-3298683, 031-3298684)"
Tri Guna PT,031-3982690 (+62-031-3982690)
Unida Shipping PT Pelayaran,031-3984491 (+62-031-3984491)
Widya Samudera Perkasa CV,031-3291458 (+62-031-3291458)
Sinar Jaya UD,"031-3554017, 031-3554016 (+62-031-3554017, 031-3554016)"
Aneka Jaya Sakti PT,"031-3983080, 031-3974485, 031-3974486, 031-3974487, 031-3974488, 031-3983151, 031-3985013, 031-3985014, 031-3987081, 031-3987082, 031-3987083, 031-3987084 (+62-031-3983080, 031-3974485, 031-3974486, 031-3974487, 031-3974488, 031-3983151, 031-3985013, 031-3985014, 031-3987081, 031-3987082, 031-3987083, 031-3987084)"
Megajaya UD,031-5344019 (+62-031-5344019)
Asjaya Prima Perkasa PT,"031-8960888, 031-8960889, 031-8960890, 031-8960891, 031-8960892, 031-8960893, 031-8962894, 031-8963962 (+62-031-8960888, 031-8960889, 031-8960890, 031-8960891, 031-8960892, 031-8960893, 031-8962894, 031-8963962)"
Hikari Perdana PT,"031-8921884, 031-8921885, 031-8921993, 031-8921994 (+62-031-8921884, 031-8921885, 031-8921993, 031-8921994)"
Levis & Lea Perus,0341-356166 (+62-0341-356166)
Malinda Nasional Foot Wear,0341-493701 (+62-0341-493701)
Malinda Nasional Foot Wear,0341-492991 (+62-0341-492991)
Multi Inti Globalindo PT,"031-8680888, 031-8680946, 031-8680947, 031-8680948 (+62-031-8680888, 031-8680946, 031-8680947, 031-8680948)"
Perwira Ekadharma Pratama PT,"031-8971218, 031-8972751, 031-8972752, 031-8973652^^031-8975166, 031-8976522 (+62-031-8971218, 031-8972751, 031-8972752, 031-8973652^^031-8975166, 031-8976522)"
Bata Toko,031-3982009 (+62-031-3982009)
Dunia Sepatu,0341-572272 (+62-0341-572272)
Fani Shoes,0331-566563 (+62-0331-566563)
Istana Sepatu Toko,0341-328311 (+62-0341-328311)
Mahkota Sepatu,0341-572268 (+62-0341-572268)
Manies Toko Sepatu,0351-496370 (+62-0351-496370)
Manies Toko,0351-463229 (+62-0351-463229)
Mewah Toko,0331-488109 (+62-0331-488109)
Muarasoes Toko,0331-593458 (+62-0331-593458)
Nico Top Toko,0341-591426 (+62-0341-591426)
Primadona Sepatu,031-8419297 (+62-031-8419297)
Rahayu Toko,0355-791272 (+62-0355-791272)
Remaja Toko,0341-362007 (+62-0341-362007)
Togaran Toko,031-3982233 (+62-031-3982233)
Pei Hai International Wiratama Indonesia PT,0321-325246 (+62-0321-325246)
Amazon Toko,0351-465030 (+62-0351-465030)
Aneka Jaya Toko,031-5321528 (+62-031-5321528)
Bally Toko,0341-365381 (+62-0341-365381)
Bata Agen Sepatu,0331-423630 (+62-0331-423630)
Bata Toko,0342-801744 (+62-0342-801744)
Bata Toko,0331-487268 (+62-0331-487268)
Bima Toko,0341-362971 (+62-0341-362971)
Carina & Craft,031-8911547 (+62-031-8911547)
Chien Fu Indonesia PT,"031-8683827, 031-8680036, 031-8680049, 031-8680116, 031-8680131, 031-8682888 (+62-031-8683827, 031-8680036, 031-8680049, 031-8680116, 031-8680131, 031-8682888)"
Cinderella Toko,0341-325837 (+62-0341-325837)
Diponegoro Toko,"0331-424154, 0331-483631 (+62-0331-424154, 0331-483631)"
Indah Toko,0341-325107 (+62-0341-325107)
Indah Toko,0331-484954 (+62-0331-484954)
Matahari Toko,031-8971525 (+62-031-8971525)
Nusantara Toko,0341-361146 (+62-0341-361146)
Ordas Perus,031-7874803 (+62-031-7874803)
Plaza Shoes Toko,"0341-351934, 0341-340233 (+62-0341-351934, 0341-340233)"
Ramai Toko,0341-325378 (+62-0341-325378)
Rapi Toko,0341-361531 (+62-0341-361531)
Salim Brothers Perkasa PT,"031-8666885, 031-8672407, 031-8672920, 031-8673610 (+62-031-8666885, 031-8672407, 031-8672920, 031-8673610)"
Sejati Toko,0341-362557 (+62-0341-362557)
Sepatu Toko,0331-424981 (+62-0331-424981)
Special Perus,0351-894769 (+62-0351-894769)
Swarna Dwipa Toko,0338-672059 (+62-0338-672059)
Top Lady Toko,031-7881597 (+62-031-7881597)
Top Lady Toko,031-7881598 (+62-031-7881598)
Wijaya CV,"031-7496716, 031-7497586 (+62-031-7496716, 031-7497586)"
Permata Super Store,031-7415604 (+62-031-7415604)
Undefined,031-7415604 (+62-031-7415604)
Tangkilan Tambak Udang,0355-532205 (+62-0355-532205)
Mutiara Blambangan Permai PT,"0333-424936, 0333-424963 (+62-0333-424936, 0333-424963)"
Mutiara Blambangan Permai PT,0333-411193 (+62-0333-411193)
Mutiara Blambangan Permai PT,0333-423873 (+62-0333-423873)
Nasri UD,031-7325552 (+62-031-7325552)
Radiance Shrimp Division PT,0338-672551 (+62-0338-672551)
Utama Terus Jaya Makmur PT,0331-486840 (+62-0331-486840)
Baity Silver,0343-741319 (+62-0343-741319)
Natasha Skin Care,031-5947777 (+62-031-5947777)
Aneka Cipta Mandiri UD,031-3542275 (+62-031-3542275)
Barokah Jaya UD,031-8672381 (+62-031-8672381)
Widoro Toko,031-8537344 (+62-031-8537344)
Daymatu Industry Indonesia PT,0343-656333 (+62-0343-656333)
Daymatu Industry Indonesia PT,0343-656037 (+62-0343-656037)
Jalur Rejeki Jaya Perkasa UD,"031-8667178, 031-8667179, 031-8667180, 031-8667181 (+62-031-8667178, 031-8667179, 031-8667180, 031-8667181)"
NCN Pabrik,031-3811209 (+62-031-3811209)
Kao Indonesia PT,"031-8703302, 031-8704488, 031-8713421, 031-8713423, 031-8714840 (+62-031-8703302, 031-8704488, 031-8713421, 031-8713423, 031-8714840)"
Kodok Pabrik,0341-366802 (+62-0341-366802)
Pasifik Pabrik,0341-325083 (+62-0341-325083)
Rambi Agung PT,0331-335575 (+62-0331-335575)
Sing Liong Pabrik,0333-421397 (+62-0333-421397)
Sumber Makmur Perus,0341-591088 (+62-0341-591088)
Kunci Mas Pabrik,0333-421069 (+62-0333-421069)
SHS Perus,0351-464114 (+62-0351-464114)
SHS Perus,0351-464705 (+62-0351-464705)
Scomtec Edukom Persada PT,"031-5911192, 031-5911193, 031-5928911, 031-5928913, 031-5928915, 031-5928916, 031-5928917, 031-5928918, 031-5928919, 031-5928920 (+62-031-5911192, 031-5911193, 031-5928911, 031-5928913, 031-5928915, 031-5928916, 031-5928917, 031-5928918, 031-5928919, 031-5928920)"
Mulya Adhi Paramita PT,"031-7990447, 031-7990448 (+62-031-7990447, 031-7990448)"
Mitra Wiratindo,031-8539622 (+62-031-8539622)
Elyn's Gift Collections,031-5945126 (+62-031-5945126)
Jobel,031-5013370 (+62-031-5013370)
Sha-Sha Gift & Craft,031-5042159 (+62-031-5042159)
Tofi's Wedding Card & Souvenir,031-5949215 (+62-031-5949215)
Unique Creation,031-5999307 (+62-031-5999307)
Claudia Art Shop,0331-483517 (+62-0331-483517)
Paramartha Creative Product,0341-361041 (+62-0341-361041)
Sanggar Kenanga,0333-425278 (+62-0333-425278)
Smile Collection,031-8434075 (+62-031-8434075)
Tika Collection,031-3552820 (+62-031-3552820)
Tjandi Susan Indah UD,031-3542749 (+62-031-3542749)
Joel Art,"031-5039586, 031-5015141 (+62-031-5039586, 031-5015141)"
Indo Teknik,"031-5355767, 031-5355768 (+62-031-5355767, 031-5355768)"
Jember Agung Perus,0331-336385 (+62-0331-336385)
Supa Surya Niaga PT,"031-5315855, 031-5319250 (+62-031-5315855, 031-5319250)"
Tjengkeh Soelowidjaya,031-8941441 (+62-031-8941441)
Irama Bhakti Perus,031-3982811 (+62-031-3982811)
Mulya Perus,031-3983084 (+62-031-3983084)
Panah Mas Perus,031-3981322 (+62-031-3981322)
Samija Pabrik,031-3983905 (+62-031-3983905)
Gajahmas Wiramakmur PT,"031-7494563, 031-7494564, 031-7494581, 031-7494582 (+62-031-7494563, 031-7494564, 031-7494581, 031-7494582)"
Aquila Wellness Club,031-3818778 (+62-031-3818778)
Dunia Es Plaza Tunjungan,"031-5459581, 031-5459582, 031-5459583 (+62-031-5459581, 031-5459582, 031-5459583)"
Fajar Fitness Centre,0333-427327 (+62-0333-427327)
Fajar Fitness Centre,0333-424634 (+62-0333-424634)
Istana Fitness Centre,0355-322071 (+62-0355-322071)
Leotina Kreodonta,0341-711545 (+62-0341-711545)
Osshie Studio Senam,"031-5663936, 031-5674328 (+62-031-5663936, 031-5674328)"
Pratama Sport Toko,"0341-416660, 0341-416670 (+62-0341-416660, 0341-416670)"
Mulia Toko,0336-321295 (+62-0336-321295)
Nirwana Sport Toko,0328-662592 (+62-0328-662592)
Gelora Mataram Trad Co,031-8702753 (+62-031-8702753)
Sawahan PS Toko,0341-354109 (+62-0341-354109)
Sidoarjo Sport & Musik,"031-8961200, 031-8941858 (+62-031-8961200, 031-8941858)"
Trijaya PT,0341-322591 (+62-0341-322591)
Trijaya PT,0341-364861 (+62-0341-364861)
Andayani Sporting House,"0324-322565, 0324-323250 (+62-0324-322565, 0324-323250)"
Anugerah Sport Toko,0341-326217 (+62-0341-326217)
Bakti Sports Toko,0341-325635 (+62-0341-325635)
Guru Sport Toko,0341-362835 (+62-0341-362835)
Karunia Sport Toko,031-7405073 (+62-031-7405073)
London Badminton Shuttlecocks,0341-364438 (+62-0341-364438)
Merpati Sport,0342-808648 (+62-0342-808648)
Mulia Perus Raket,0341-329445 (+62-0341-329445)
Naga Sakti Sport,0355-322441 (+62-0355-322441)
Naga Toko,0341-366824 (+62-0341-366824)
Orient Sport & Music,0351-462959 (+62-0351-462959)
Panah Pabrik,0341-325078 (+62-0341-325078)
Sanur Sport,0341-361915 (+62-0341-361915)
Sidoarjo Sport Toko,031-8945026 (+62-031-8945026)
Warna Abadi Pratama PT,031-7346178 (+62-031-7346178)
Conesta Utama,031-7667083 (+62-031-7667083)
LKN Stainless Steel & Gold Plate,031-5319006 (+62-031-5319006)
Mandara Mekaraji PT,"0343-741707, 0343-741708 (+62-0343-741707, 0343-741708)"
Mandara Mekaraji PT,"031-8412499, 031-8417506 (+62-031-8412499, 031-8417506)"
Elita Jaya,031-8421361 (+62-031-8421361)
Maspion Stainless Steel Indonesia PT,"031-3952346, 031-3952347 (+62-031-3952346, 031-3952347)"
Mega Canopy,031-8791567 (+62-031-8791567)
Sinar Jaya Canopy,"031-5923880, 031-5995887 (+62-031-5923880, 031-5995887)"
Sun Awning,031-8706568 (+62-031-8706568)
Sun Awning,"031-5045589, 031-5045084 (+62-031-5045589, 031-5045084)"
Arta Mas Toko,031-5344939 (+62-031-5344939)
Candra Stationery,"031-3530659, 031-3559475 (+62-031-3530659, 031-3559475)"
Gading Murni Putra Toko,031-7524408 (+62-031-7524408)
Jaya Stationery,031-3551660 (+62-031-3551660)
Merah Delima UD,"031-8437433, 031-8412126 (+62-031-8437433, 031-8412126)"
Panca Tunggal Toko,0341-364603 (+62-0341-364603)
Prayogo Group,031-8416162 (+62-031-8416162)
Riang Toko,0341-362449 (+62-0341-362449)
Sigma Stationery,031-8708528 (+62-031-8708528)
Sumber Hidup Toko,0341-325093 (+62-0341-325093)
Sumber Hidup Toko,0341-340591 (+62-0341-340591)
Teka Stationery,"031-8420066, 031-8410987, 031-8417201 (+62-031-8420066, 031-8410987, 031-8417201)"
Usaha Jaya UD,"031-3521335, 031-3558922 (+62-031-3521335, 031-3558922)"
W & R Stationery,"031-8492027, 031-8437587 (+62-031-8492027, 031-8437587)"
Wahyu Toko,0342-801824 (+62-0342-801824)
Idjo Stationary UD,"0341-351454, 0341-365253 (+62-0341-351454, 0341-365253)"
Kurnia UD,0321-861582 (+62-0321-861582)
Pancawarna Stationery,0341-362120 (+62-0341-362120)
Pison Stationery,0341-364472 (+62-0341-364472)
Prima Stationery,"0331-487009, 0331-485296 (+62-0331-487009, 0331-485296)"
Sekawan CV,0341-361430 (+62-0341-361430)
Sinar Rejeki UD,031-5480903 (+62-031-5480903)
Dirgahayu Mfg Co CV,"031-5482003, 031-5482004, 031-5482005, 031-5482006, 031-5482007, 031-5482008, 031-5482009, 031-5482010, 031-5482011, 031-5482012, 031-5482013, 031-5482014, 031-5482015, 031-5482016, 031-5482017, 031-5482018 (+62-031-5482003, 031-5482004, 031-5482005, 031-5482006, 031-5482007, 031-5482008, 031-5482009, 031-5482010, 031-5482011, 031-5482012, 031-5482013, 031-5482014, 031-5482015, 031-5482016, 031-5482017, 031-5482018)"
Dirgahayu Mfg Co CV,"031-8532162, 031-8532818, 031-8533345 (+62-031-8532162, 031-8532818, 031-8533345)"
Sahabat Utama Traco PT,031-5482784 (+62-031-5482784)
Tekun Karya Abadi PT,031-7507217 (+62-031-7507217)
Dunia Bengkel,0331-486951 (+62-0331-486951)
Sentral Besi Pratama CV,"031-7886893, 031-7871612, 031-7886894 (+62-031-7886893, 031-7871612, 031-7886894)"
Seri Djaja Steel PT,"031-5028234, 031-5020285, 031-5020816, 031-5020817, 031-5020820, 031-5020821, 031-5021275, 031-5022280, 031-5027027, 031-5028235, 031-5029449, 031-5045000, 031-9991751 (+62-031-5028234, 031-5020285, 031-5020816, 031-5020817, 031-5020820, 031-5020821, 031-5021275, 031-5022280, 031-5027027, 031-5028235, 031-5029449, 031-5045000, 031-9991751)"
Seri Djaja Steel PT,"031-5020926, 031-5026217 (+62-031-5020926, 031-5026217)"
Undefined,"031-5020926, 031-5026217 (+62-031-5020926, 031-5026217)"
Baja Mas Abadi UD,031-5018090 (+62-031-5018090)
Gabaya CV,031-3530036 (+62-031-3530036)
Surabaya Baja Profil Centre PT,"031-5453572, 031-5453573, 031-5473440, 031-5473441, 031-5473442, 031-5473443, 031-5473445, 031-5473446 (+62-031-5453572, 031-5453573, 031-5473440, 031-5473441, 031-5473442, 031-5473443, 031-5473445, 031-5473446)"
Timur Jaya UD,031-7493525 (+62-031-7493525)
Tri Sari Kumpul CV,"031-7490774, 031-7490775, 031-7490776, 031-7490779, 031-7494172, 031-7494203, 031-7494204 (+62-031-7490774, 031-7490775, 031-7490776, 031-7490779, 031-7494172, 031-7494203, 031-7494204)"
Sarana Metal Indah PT,"031-7660821, 031-7661553, 031-7662802 (+62-031-7660821, 031-7661553, 031-7662802)"
Sarana Metal Indah PT,"031-8436654, 031-8491048 (+62-031-8436654, 031-8491048)"
Gunung Kawi Jaya,"031-7661217, 031-7661329, 031-7662393, 031-7662395 (+62-031-7661217, 031-7661329, 031-7662393, 031-7662395)"
Prakarsalanggeng Maju Bersama PT,"031-8437850, 031-8434891 (+62-031-8437850, 031-8434891)"
Prakarsalanggeng Maju Bersama PT,"031-5044999, 031-5048291, 031-5048292, 031-5048293 (+62-031-5044999, 031-5048291, 031-5048292, 031-5048293)"
Asian Profile Indosteel PT,"031-7496134, 031-7481064, 031-7496135, 031-7496136 (+62-031-7496134, 031-7481064, 031-7496135, 031-7496136)"
Masrur & Son PT,"031-8535068, 031-8535239, 031-8538967 (+62-031-8535068, 031-8535239, 031-8538967)"
Steel Pipe Industry Of Indonesia PT,"0343-656091, 0343-656266, 0343-656267, 0343-656523, 0343-656524, 0343-656525, 0343-656526 (+62-0343-656091, 0343-656266, 0343-656267, 0343-656523, 0343-656524, 0343-656525, 0343-656526)"
Abadi Stainless,031-5026155 (+62-031-5026155)
Alim Ampuhjaya Steel PT,"031-8532589, 031-8531784 (+62-031-8532589, 031-8531784)"
Farindo Steel PT,"031-8971932, 031-8971933 (+62-031-8971932, 031-8971933)"
Gaya Indah,"031-7410317, 031-7410355 (+62-031-7410317, 031-7410355)"
Gunamarga Inti Total PT,031-5020471 (+62-031-5020471)
Indah Raya Sejati PT,"031-8941866, 031-8944492 (+62-031-8941866, 031-8944492)"
Undefined,"031-8941866, 031-8944492 (+62-031-8941866, 031-8944492)"
Meco Inoxprima PT,031-2988002 (+62-031-2988002)
Sinar Toko,031-8964446 (+62-031-8964446)
Universal Steel Prima PT,0343-656746 (+62-0343-656746)
Universal Steel Prima PT,"0343-656086, 0343-656087, 0343-656088, 0343-656089, 0343-656090, 0343-656413, 0343-656415, 0343-656745 (+62-0343-656086, 0343-656087, 0343-656088, 0343-656089, 0343-656090, 0343-656413, 0343-656415, 0343-656745)"
Universal Steel Prima PT,0343-656414 (+62-0343-656414)
Mulcindo PT,"031-8438165, 031-8412529, 031-8420372, 031-8420373, 031-8420374, 031-8432138, 031-8432139, 031-8438047, 031-8439329, 031-8490266 (+62-031-8438165, 031-8412529, 031-8420372, 031-8420373, 031-8420374, 031-8432138, 031-8432139, 031-8438047, 031-8439329, 031-8490266)"
Dana Reksa PT,031-5345888 (+62-031-5345888)
Kestrel Sekuritas PT,"031-5459520, 031-5459523 (+62-031-5459520, 031-5459523)"
Sumber Agung PT,031-8283132 (+62-031-8283132)
Asembagus Pabrik,0333-710755 (+62-0333-710755)
Kedawung PG,"0343-481636, 0343-482807, 0343-482808 (+62-0343-481636, 0343-482807, 0343-482808)"
Kedawung PG,0343-482200 (+62-0343-482200)
Watoetoelis Pabrik,"031-8972383, 031-8972270 (+62-031-8972383, 031-8972270)"
Arto Moro CV,0351-451514 (+62-0351-451514)
Kebon Agung PG,0341-491856 (+62-0341-491856)
Kebon Agung PG,"0341-801371, 0341-801064, 0341-803096, 0341-803097, 0341-803098 (+62-0341-801371, 0341-801064, 0341-803096, 0341-803097, 0341-803098)"
Krebet Baru PT,"0341-365379, 0341-365376 (+62-0341-365379, 0341-365376)"
Krebet Baru PT,"0341-833026, 0341-833034 (+62-0341-833026, 0341-833034)"
Krebet Baru PT,"0341-833005, 0341-833017 (+62-0341-833005, 0341-833017)"
Krebet Baru PT,"0341-369485, 0341-805879 (+62-0341-369485, 0341-805879)"
Krembung PG,"031-8851315, 031-8851661, 031-8851688 (+62-031-8851315, 031-8851661, 031-8851688)"
Mojopanggung PG,0355-328584 (+62-0355-328584)
Mojopanggung PG,0355-321093 (+62-0355-321093)
Mojopanggung PG,0355-328338 (+62-0355-328338)
Olean PG,"0338-671343, 0338-671484, 0338-671836, 0338-677135 (+62-0338-671343, 0338-671484, 0338-671836, 0338-677135)"
Panji PG,0338-671704 (+62-0338-671704)
Panji PG,"0338-671149, 0338-671157, 0338-671184, 0338-671455, 0338-671814 (+62-0338-671149, 0338-671157, 0338-671184, 0338-671455, 0338-671814)"
Prajekan PG,"0332-561000, 0332-560410, 0332-561001, 0332-561007, 0332-561009, 0332-561012, 0332-561091 (+62-0332-561000, 0332-560410, 0332-561001, 0332-561007, 0332-561009, 0332-561012, 0332-561091)"
Rejoagung Baru PG,"0351-462525, 0351-451875, 0351-459194, 0351-462364, 0351-462526, 0351-463642 (+62-0351-462525, 0351-451875, 0351-459194, 0351-462364, 0351-462526, 0351-463642)"
Rejoagung Baru PG,0351-493547 (+62-0351-493547)
Rejosari PG,"0351-439830, 0351-439574, 0351-439575, 0351-439833, 0351-439981 (+62-0351-439830, 0351-439574, 0351-439575, 0351-439833, 0351-439981)"
Sari Murni CV,"031-3762439, 031-3760690, 031-3770457, 031-3770458 (+62-031-3762439, 031-3760690, 031-3770457, 031-3770458)"
Semboro Pabrik,"0336-441730, 0336-441956 (+62-0336-441730, 0336-441956)"
Soedhono PG,"0351-749028, 0351-745051, 0351-746176, 0351-747386, 0351-747387, 0351-748246 (+62-0351-749028, 0351-745051, 0351-746176, 0351-747386, 0351-747387, 0351-748246)"
Wringin Anom PG,"0338-671211, 0338-671396, 0338-671891 (+62-0338-671211, 0338-671396, 0338-671891)"
ABC Toko,0324-322379 (+62-0324-322379)
Abdullah Toko,0341-324788 (+62-0341-324788)
Adi Buana UD,"031-7494068, 031-7480436, 031-7494069, 031-7494102 (+62-031-7494068, 031-7480436, 031-7494069, 031-7494102)"
Adil Toko,0341-325171 (+62-0341-325171)
Agung Toko,0331-483811 (+62-0331-483811)
Akar Mas Toko,0341-364515 (+62-0341-364515)
Akor Toko,0341-362425 (+62-0341-362425)
Alam Djaja Toko,0341-324884 (+62-0341-324884)
Aman Toko,0341-365217 (+62-0341-365217)
Anda Rita Toko,0333-421567 (+62-0333-421567)
Anggrek Toko,0341-325722 (+62-0341-325722)
Anies Baru Toko,0351-462391 (+62-0351-462391)
Anies Toko,0351-462823 (+62-0351-462823)
Apollo Toko,0324-321540 (+62-0324-321540)
Arjuno Toko,"0333-421678, 0333-427614 (+62-0333-421678, 0333-427614)"
Bahagia Toko,0333-421138 (+62-0333-421138)
Bahagia Toko,0333-845740 (+62-0333-845740)
Baru Toko,031-8419397 (+62-031-8419397)
Bima Toko,0351-462372 (+62-0351-462372)
Bintang Agung Toko,0341-365520 (+62-0341-365520)
Bintang Fajar UD,0341-490168 (+62-0341-490168)
Bintang Mas Toko,0341-364749 (+62-0341-364749)
Cahaya Baru Toko,0333-423517 (+62-0333-423517)
Cahaya Baru Toko,0331-421074 (+62-0331-421074)
Cahaya Jaya Toko,0341-366345 (+62-0341-366345)
Cahjono Toko,0342-801696 (+62-0342-801696)
Candra Toko,0321-322101 (+62-0321-322101)
Cemara CV,031-5321547 (+62-031-5321547)
Cemara Sakti Toko,0341-361714 (+62-0341-361714)
Dani Toko,0332-421310 (+62-0332-421310)
Dany Jaya UD,031-8281395 (+62-031-8281395)
Delapan Tiga Toko,0341-325001 (+62-0341-325001)
Dila UD,0331-483585 (+62-0331-483585)
Djanoko UD,031-7882279 (+62-031-7882279)
Djojo Toko,0341-364686 (+62-0341-364686)
Dua Satu Toko,031-8708257 (+62-031-8708257)
Eka Tiara Toko,0341-364338 (+62-0341-364338)
Enam Toko,0342-801678 (+62-0342-801678)
Fadjar Baru Toko,0341-364164 (+62-0341-364164)
Fatimah Toko,0331-483553 (+62-0331-483553)
Gajah Mada Toko,0331-421690 (+62-0331-421690)
Goan Tjiang & Co NV,031-3710503 (+62-031-3710503)
Gunung Guntur Toko,0341-364305 (+62-0341-364305)
Hadi Santoso Toko,0351-462327 (+62-0351-462327)
Undefined,0351-462327 (+62-0351-462327)
Himalaya Toko,0324-322433 (+62-0324-322433)
Hwa Toko,0341-325299 (+62-0341-325299)
Ibrahim Toko,0351-462854 (+62-0351-462854)
Inayah Toko,0355-321405 (+62-0355-321405)
Indah Djaja Toko,0343-426122 (+62-0343-426122)
Indah Jaya Toko,0351-462095 (+62-0351-462095)
Indah Toko,0333-421709 (+62-0333-421709)
Indah Toko,0331-485368 (+62-0331-485368)
Indomarco Perdana PT,"031-3577201, 031-3538183, 031-3538184, 031-3538195, 031-3538833, 031-3539698, 031-3577202, 031-3577203, 031-3577204, 031-3577205 (+62-031-3577201, 031-3538183, 031-3538184, 031-3538195, 031-3538833, 031-3539698, 031-3577202, 031-3577203, 031-3577204, 031-3577205)"
Jawa Baru Toko,0341-326951 (+62-0341-326951)
Jaya Raya Toko,"0331-487267, 0331-484783, 0331-487785 (+62-0331-487267, 0331-484783, 0331-487785)"
Juliana Toko,0324-322856 (+62-0324-322856)
Kamajaya Toko,0351-462955 (+62-0351-462955)
Karya Kita Toko,0324-322646 (+62-0324-322646)
Kasih UD,0333-424111 (+62-0333-424111)
Kasin Jaya Toko,0341-364733 (+62-0341-364733)
Keluarga Toko,0351-462198 (+62-0351-462198)
Kinlon Toko,0331-487341 (+62-0331-487341)
Kota Mas Toko,0341-364590 (+62-0341-364590)
Ksatrya Toko,"0341-325259, 0341-355683 (+62-0341-325259, 0341-355683)"
Kuning Toko,0351-462747 (+62-0351-462747)
Kurnia Toko,0324-322303 (+62-0324-322303)
Langgeng Remaja Toko,0341-491094 (+62-0341-491094)
Laser Toko,0324-323173 (+62-0324-323173)
Lima Sari Toko,0341-364721 (+62-0341-364721)
